Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;6.0:1, 5:4, 5.5:1, Non-Hex:1;;AANEPN6055L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;6.0:1, 2:5, 7:1, Non-Hex:1;;AANEPN6027L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;6.0:1, 3:6, 7:1, Non-Hex:1;;AANEPN6037L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;6.0:1, 4:7, 7:1, Non-Hex:1;;AANEPN6047L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;6.0:1, 5:8, 7:1, Non-Hex:1;;AANEPN6057L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 2:1, 5.5:1, Hex:1;;AANEPH7025L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 3:2, 5.5:1, Hex:1;;AANEPH7035L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 4:3, 5.5:1, Hex:1;;AANEPH7045L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 5:4, 5.5:1, Hex:1;;AANEPH7055L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 2:5, 7:1, Hex:1;;AANEPH7027L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 3:6, 7:1, Hex:1;;AANEPH7037L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 4:7, 7:1, Hex:1;;AANEPH7047L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 5:8, 7:1, Hex:1;;AANEPH7057L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 2:1, 5.5:1, Non-Hex:1;;AANEPN7025L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 3:2, 5.5:1, Non-Hex:1;;AANEPN7035L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 4:3, 5.5:1, Non-Hex:1;;AANEPN7045L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 5:4, 5.5:1, Non-Hex:1;;AANEPN7055L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 2:5, 7:1, Non-Hex:1;;AANEPN7027L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 3:6, 7:1, Non-Hex:1;;AANEPN7037L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 4:7, 7:1, Non-Hex:1;;AANEPN7047L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;7.0:1, 5:8, 7:1, Non-Hex:1;;AANEPN7057L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
11;AnyRidge Abutment ECLA;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 1:1,11:1, Hex:1;;AANGAH4012L;;;;0;;1000;1;0;1;;;;0;1;0;0;0
11;AnyRidge Abutment ECLA;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 1:1,11:1, Non-Hex:1;;AANGAN4012L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
12;AnyRidge Abutment Zirconia;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 4:1, 5.5:1, Hex:1;;AANZAH4012L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
12;AnyRidge Abutment Zirconia;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;5.0:1, 5:2, 5.5:1, Hex:1;;AANZAH5012L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;4.0:1, 2:1, 9:1;;AANMAH4029L;;;;0;;1000;1;0;1;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;4.0:1, 3:2, 9:1;;AANMAH4039L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;4.0:1, 4:3, 9:1;;AANMAH4049L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
